,time,month,hours_after_sunset,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,time_dt
count,2123,2123.0,2123.0,2123.0,2123.0,2123.0,2123.0,2123
unique,2123,,,,,,,
top,26/12/2017 16:13,,,,,,,
freq,1,,,,,,,
mean,,3.083843617522374,5.265426283560998,32.08337258596326,2.445874427835139,1.9944418275581723,0.44465379180405085,2018-03-19 17:54:20.970324992
min,,0.0,-2.0,0.0,0.0,0.0,0.0,2017-12-26 16:13:00
25%,,2.0,2.0,11.0,1.9622063765,0.0,0.0,2018-02-06 01:03:00
50%,,4.0,5.0,27.0,2.951877314,0.0,0.0,2018-04-04 05:01:00
75%,,4.0,8.5,48.0,3.105872622,0.1583333335,1.0,2018-04-30 23:35:00
max,,6.0,13.5,178.0,4.0,120.0,17.0,2018-06-01 05:41:00
std,,1.6422605504002845,4.076187850626766,25.614431045437502,1.218352760981965,6.793397356871648,1.0191953222377625,
